number,value,datetime_start,datetime_complete,duration,params_elite_size,params_iter_per_ind,params_max_generations,params_num_new_gen,params_pop_size,params_prob_crossover,params_prob_mut_30,params_prob_mut_repair,params_w_density,params_w_slack,state
399,4769.0,2026-03-11 22:49:31.323160,2026-03-11 22:49:51.318973,0 days 00:00:19.995813,24,10908,194,45,64,0.28488526579142226,0.22375695697418554,0.29508217048436847,2368.0789472754777,0.574409637681937,COMPLETE
101,4736.0,2026-03-11 22:36:36.431914,2026-03-11 22:37:12.294070,0 days 00:00:35.862156,20,33802,152,42,52,0.2667030698009042,0.38445462962741267,0.2764045914945308,3327.600632468889,1.1738050285651072,COMPLETE
494,4728.0,2026-03-11 22:55:52.046090,2026-03-11 22:56:12.288720,0 days 00:00:20.242630,20,10063,161,48,65,0.2923151471228883,0.45702091728978056,0.12036180663642111,2411.250050226047,1.3425080513547096,COMPLETE
456,4724.0,2026-03-11 22:52:27.907979,2026-03-11 22:52:57.970847,0 days 00:00:30.062868,24,19423,174,47,62,0.25188634048301584,0.21483640548181132,0.11534422265162754,2357.0128714449943,1.1494587826541622,COMPLETE
279,4723.0,2026-03-11 22:45:30.410378,2026-03-11 22:45:42.907356,0 days 00:00:12.496978,19,11066,172,43,45,0.30465946994281823,0.23491699203046215,0.12440171757743348,3341.27001418103,2.203054812371388,COMPLETE
229,4723.0,2026-03-11 22:42:42.171769,2026-03-11 22:43:05.704580,0 days 00:00:23.532811,16,11218,200,46,74,0.27250473695712063,0.2238056044710665,0.11689274588075936,3606.6146638039045,1.5879929708010896,COMPLETE
414,4721.0,2026-03-11 22:50:01.291768,2026-03-11 22:50:30.936524,0 days 00:00:29.644756,25,16607,189,45,65,0.3088322472422654,0.2351981104759651,0.14850338682780942,1954.811935776331,0.2527605109458388,COMPLETE
264,4720.0,2026-03-11 22:45:03.732943,2026-03-11 22:45:22.339051,0 days 00:00:18.606108,18,17230,165,43,45,0.2742299303279176,0.2301564303587286,0.10828716056143409,3835.044424009623,1.2332734490328052,COMPLETE
446,4720.0,2026-03-11 22:51:40.370726,2026-03-11 22:52:33.914524,0 days 00:00:53.543798,25,31021,194,48,63,0.32499918525348326,0.3216221820105305,0.13605517025456346,2499.756091611631,1.1521865752953313,COMPLETE
460,4717.0,2026-03-11 22:52:44.162277,2026-03-11 22:53:41.640819,0 days 00:00:57.478542,24,32215,199,45,64,0.2648345910360131,0.25902513691263535,0.06878354986544057,2246.476652379554,1.0840551612702596,COMPLETE
419,4717.0,2026-03-11 22:50:18.401683,2026-03-11 22:50:45.206394,0 days 00:00:26.804711,26,15176,197,45,62,0.28924074265339694,0.2267338421226776,0.15082233568902575,2475.345967700186,0.4803226092723081,COMPLETE
518,4717.0,2026-03-11 22:57:15.481312,2026-03-11 22:57:42.431959,0 days 00:00:26.950647,17,11314,198,47,66,0.2365336211634058,0.22805040774732382,0.1430960927501846,2036.4217809228978,1.7824682763250121,COMPLETE
265,4716.0,2026-03-11 22:45:03.838500,2026-03-11 22:45:18.806257,0 days 00:00:14.967757,18,17419,124,44,47,0.2342189914785398,0.4191075848042218,0.09969164747171434,3381.507764278849,1.21208620585042,COMPLETE
534,4713.0,2026-03-11 22:58:08.175914,2026-03-11 22:58:32.053785,0 days 00:00:23.877871,20,10116,195,48,64,0.2265994681097632,0.21675789004036894,0.28567380810328585,269.7054121170031,1.6095267058488274,COMPLETE
345,4713.0,2026-03-11 22:47:27.954290,2026-03-11 22:48:13.175483,0 days 00:00:45.221193,19,35506,159,45,61,0.2396877471368542,0.4477953955493545,0.2886838916516963,3367.5379311725483,1.2117194554171968,COMPLETE
298,4709.0,2026-03-11 22:46:00.653717,2026-03-11 22:46:18.787299,0 days 00:00:18.133582,20,10876,173,48,70,0.30273976357780075,0.240748079915153,0.11878890770252157,3439.708775865377,2.3633253546490134,COMPLETE
557,4708.0,2026-03-11 22:59:38.228301,2026-03-11 23:00:22.123459,0 days 00:00:43.895158,22,33949,195,45,51,0.29825948297083865,0.34956623841862183,0.2921520313070845,490.1093990228874,1.8483729552579609,COMPLETE
191,4707.0,2026-03-11 22:40:06.283227,2026-03-11 22:40:56.033937,0 days 00:00:49.750710,20,33320,161,48,68,0.20427420584156852,0.4822596499452246,0.19079916311864162,2138.859572900905,1.3086908891760172,COMPLETE
137,4704.0,2026-03-11 22:37:54.206572,2026-03-11 22:38:39.931245,0 days 00:00:45.724673,17,35438,163,49,59,0.2839416040082821,0.43567149663069177,0.27602933274793845,836.910758057101,1.9051255161257843,COMPLETE
202,4700.0,2026-03-11 22:40:56.052376,2026-03-11 22:41:39.370595,0 days 00:00:43.318219,24,29075,157,48,68,0.20019508392920213,0.44629909469299306,0.18856769111930194,2277.3929157039865,1.1501075819084285,COMPLETE
81,4695.0,2026-03-11 22:35:12.207618,2026-03-11 22:35:46.043358,0 days 00:00:33.835740,23,19950,155,48,73,0.2364362472046785,0.44990329318716477,0.13803600526818016,3199.3092273929847,1.232785936680459,COMPLETE
505,4691.0,2026-03-11 22:56:33.654628,2026-03-11 22:56:59.520719,0 days 00:00:25.866091,20,11150,200,48,64,0.23562046647871984,0.230007234324642,0.10882046255711958,215.02478847416717,1.5320072086946162,COMPLETE
140,4689.0,2026-03-11 22:38:03.620321,2026-03-11 22:38:23.543746,0 days 00:00:19.923425,17,13283,152,49,70,0.23139510550282663,0.4367699448058314,0.2915311124637262,2522.647490414707,1.8420090185583016,COMPLETE
386,4687.0,2026-03-11 22:49:07.196525,2026-03-11 22:49:25.546109,0 days 00:00:18.349584,24,10720,194,49,60,0.2835203148484818,0.2138582615122367,0.29971282919158787,2349.650013879461,0.8687293544911531,COMPLETE
401,4684.0,2026-03-11 22:49:37.735275,2026-03-11 22:49:57.519894,0 days 00:00:19.784619,24,11024,194,43,64,0.2808571557365572,0.22478870278650162,0.15442182425012135,2070.081680817812,0.5380502687768867,COMPLETE
515,4683.0,2026-03-11 22:57:02.589778,2026-03-11 22:57:31.848310,0 days 00:00:29.258532,19,12143,200,47,66,0.23187324935982978,0.2306855762738822,0.11180084447851925,2064.150698981788,1.5578868557051904,COMPLETE
224,4683.0,2026-03-11 22:42:28.008754,2026-03-11 22:43:24.638507,0 days 00:00:56.629753,16,27734,200,41,74,0.2955846862222195,0.4681220578760498,0.12274846754021178,2836.850808556323,1.5579573533355695,COMPLETE
522,4680.0,2026-03-11 22:57:22.559768,2026-03-11 22:57:50.242993,0 days 00:00:27.683225,21,11599,198,47,66,0.2390859806174886,0.21996166332249573,0.16860725667247736,2351.649027559102,1.3091222572375316,COMPLETE
528,4679.0,2026-03-11 22:57:43.499712,2026-03-11 22:58:08.138677,0 days 00:00:24.638965,21,10023,200,47,64,0.22052010740118222,0.20868222691547425,0.0997618824884935,2053.3043838755566,1.7641748942592541,COMPLETE
62,4679.0,2026-03-11 22:32:02.932191,2026-03-11 22:32:37.507439,0 days 00:00:34.575248,18,20226,189,43,69,0.25614959887830435,0.4708265016935499,0.16512270026334083,2533.939665226449,1.2698622855539297,COMPLETE
422,4679.0,2026-03-11 22:50:24.230313,2026-03-11 22:50:52.247446,0 days 00:00:28.017133,25,15692,186,46,66,0.28768875668539434,0.24495957818734165,0.15031489599562597,2174.550838505858,0.47862800951956685,COMPLETE
510,4678.0,2026-03-11 22:56:49.144462,2026-03-11 22:57:17.664734,0 days 00:00:28.520272,19,12551,200,46,61,0.26577814178286324,0.24569573947734918,0.11022834001313207,3724.4857237005644,1.4642533923333894,COMPLETE
407,4677.0,2026-03-11 22:49:51.352894,2026-03-11 22:50:12.394416,0 days 00:00:21.041522,25,11876,189,45,64,0.2876622727215126,0.23396902954510973,0.2809599769186787,2355.678064898295,1.0288087469006637,COMPLETE
220,4677.0,2026-03-11 22:42:02.092953,2026-03-11 22:42:49.555911,0 days 00:00:47.462958,24,29184,164,49,71,0.30065143437753733,0.44515833266746824,0.20011812105979232,2598.2405499634406,1.0158433016106376,COMPLETE
512,4677.0,2026-03-11 22:56:50.900603,2026-03-11 22:57:15.702662,0 days 00:00:24.802059,19,12665,176,46,61,0.265588148509221,0.22967250815830825,0.11439851464685219,2056.941496231304,1.5329532054165846,COMPLETE
110,4677.0,2026-03-11 22:37:00.621799,2026-03-11 22:37:29.195290,0 days 00:00:28.573491,25,19683,168,46,62,0.3241415953173049,0.410766945367375,0.12781986879331358,3371.249781154391,1.395517816694003,COMPLETE
327,4676.0,2026-03-11 22:46:59.723906,2026-03-11 22:47:14.240762,0 days 00:00:14.516856,19,13200,178,41,44,0.23209132244625058,0.43848550490481686,0.2971258093448053,3214.1502628796907,1.3533006350918129,COMPLETE
64,4676.0,2026-03-11 22:32:20.655894,2026-03-11 22:32:40.316395,0 days 00:00:19.660501,19,17373,190,42,44,0.3068210946451546,0.27574223750610477,0.08310830104150627,2494.748393786471,1.3671837698385305,COMPLETE
93,4676.0,2026-03-11 22:36:14.555898,2026-03-11 22:36:40.527961,0 days 00:00:25.972063,23,16264,172,48,67,0.2523795768639078,0.396412219593195,0.11716294272253083,2868.0289431241763,4.966547370616384,COMPLETE
245,4675.0,2026-03-11 22:43:33.703767,2026-03-11 22:43:59.128612,0 days 00:00:25.424845,17,12277,197,42,72,0.2888773282506127,0.2658697826884043,0.10732591567848072,2833.3045086409347,1.699789918238809,COMPLETE
468,4675.0,2026-03-11 22:53:33.942561,2026-03-11 22:54:06.016081,0 days 00:00:32.073520,25,20172,170,45,64,0.2766594296920171,0.21518262541080185,0.13052945529708443,2283.0986800416317,1.0559332867546376,COMPLETE
377,4675.0,2026-03-11 22:48:51.089925,2026-03-11 22:49:07.167450,0 days 00:00:16.077525,25,11653,155,44,61,0.28127980698591276,0.21516541155458485,0.28964163936183046,3509.6348245087065,0.8986674456447243,COMPLETE
26,4673.0,2026-03-11 22:27:24.979896,2026-03-11 22:27:54.746498,0 days 00:00:29.766602,22,28557,155,44,51,0.2524523179007484,0.21188843627366144,0.29080802845110504,3190.397582824223,1.284306432200328,COMPLETE
149,4672.0,2026-03-11 22:38:35.858570,2026-03-11 22:38:53.143383,0 days 00:00:17.284813,18,11129,151,47,71,0.23139064151664052,0.4212167156628139,0.2962471684394494,2687.1892094852883,1.6363412501153372,COMPLETE
322,4672.0,2026-03-11 22:46:51.891384,2026-03-11 22:47:03.071098,0 days 00:00:11.179714,20,11257,163,42,42,0.2293308897940441,0.4083309637495628,0.29469744743728754,3196.5765328429734,1.3659318285082538,COMPLETE
531,4671.0,2026-03-11 22:57:50.274638,2026-03-11 22:58:13.660250,0 days 00:00:23.385612,16,10242,200,48,59,0.22574823309106562,0.20874128851420187,0.10435191815050182,253.25280602457045,1.7103782531238743,COMPLETE
103,4671.0,2026-03-11 22:36:37.602462,2026-03-11 22:37:00.608889,0 days 00:00:23.006427,20,22501,152,42,49,0.26778328990246814,0.41070810290561144,0.12380457516340965,3405.923857766949,1.3781369537535646,COMPLETE
74,4671.0,2026-03-11 22:33:52.051258,2026-03-11 22:34:23.611074,0 days 00:00:31.559816,17,20218,165,48,72,0.20881857151000316,0.4153606128200977,0.18500795066664605,3002.9962950722115,3.685492788272077,COMPLETE
319,4670.0,2026-03-11 22:46:45.860045,2026-03-11 22:47:05.564616,0 days 00:00:19.704571,20,11202,187,42,68,0.28042623596081884,0.4902424936646013,0.18888822858152118,3629.03028773536,2.069775010435097,COMPLETE
194,4670.0,2026-03-11 22:40:21.803721,2026-03-11 22:41:11.725809,0 days 00:00:49.922088,24,31702,170,48,68,0.2603165553922893,0.4804541043138706,0.2787801680804079,3450.728098563411,1.260789534174043,COMPLETE
59,4670.0,2026-03-11 22:31:53.906399,2026-03-11 22:32:57.584393,0 days 00:01:03.677994,18,44008,165,48,69,0.25196656482957586,0.4871002684353208,0.08787264800370291,2469.7247873382,1.3427200505444619,COMPLETE
37,4670.0,2026-03-11 22:28:26.127352,2026-03-11 22:29:03.765522,0 days 00:00:37.638170,21,36560,163,43,47,0.24676805467614407,0.2407633505174912,0.2464929814973325,2805.5780423361352,1.502191447424702,COMPLETE
118,4670.0,2026-03-11 22:37:17.484606,2026-03-11 22:37:35.483188,0 days 00:00:17.998582,19,17448,146,44,49,0.25329209231734584,0.3634089989654412,0.09607383214047888,3773.755047274807,1.4089750694364822,COMPLETE
415,4670.0,2026-03-11 22:50:11.619355,2026-03-11 22:50:58.732667,0 days 00:00:47.113312,23,26242,197,45,65,0.2909933092300365,0.2434754003518738,0.15642117344652126,2513.9285460508772,0.36119296572501164,COMPLETE
342,4670.0,2026-03-11 22:47:21.426971,2026-03-11 22:47:41.099397,0 days 00:00:19.672426,19,14670,200,45,48,0.23649835392372487,0.44967809967364586,0.2860321983774574,3366.0151846763074,1.2254720032482063,COMPLETE
177,4670.0,2026-03-11 22:39:33.694606,2026-03-11 22:39:59.995332,0 days 00:00:26.300726,21,18412,151,43,65,0.24348780411441137,0.4042645551397644,0.23179257450343108,1265.605929699912,3.827569546129043,COMPLETE
122,4668.0,2026-03-11 22:37:27.279915,2026-03-11 22:37:52.551478,0 days 00:00:25.271563,19,25731,146,45,48,0.2567329255364466,0.36729169512475013,0.10601789637930091,3330.717007968458,2.8928625080371173,COMPLETE
428,4668.0,2026-03-11 22:50:45.713686,2026-03-11 22:51:13.006879,0 days 00:00:27.293193,29,14850,191,46,65,0.300282161556886,0.24726092373987849,0.14680708325917277,2222.2335273751437,0.3299240215349498,COMPLETE
201,4667.0,2026-03-11 22:40:55.483575,2026-03-11 22:41:13.499338,0 days 00:00:18.015763,18,16688,144,42,51,0.27346725716874093,0.358472261453625,0.11179928073389833,1540.681185282739,1.4144132382204557,COMPLETE
321,4666.0,2026-03-11 22:46:49.092209,2026-03-11 22:46:59.703331,0 days 00:00:10.611122,20,11328,152,42,43,0.28063446853179796,0.24536771155871265,0.1870712897171038,2194.532497627004,2.3731120272476183,COMPLETE
523,4665.0,2026-03-11 22:57:29.270833,2026-03-11 22:57:57.895487,0 days 00:00:28.624654,16,11716,197,47,67,0.22164333600007982,0.2358825843806577,0.1667998480543794,910.4018159505015,1.3331691849637557,COMPLETE
296,4665.0,2026-03-11 22:45:58.059818,2026-03-11 22:46:16.601809,0 days 00:00:18.541991,20,11193,174,42,70,0.30331982102648974,0.23634621016229887,0.11758235977524543,3357.331568440106,1.9169560389249574,COMPLETE
463,4665.0,2026-03-11 22:53:01.216691,2026-03-11 22:53:51.629454,0 days 00:00:50.412763,24,30742,196,47,60,0.27525809006939084,0.21425144336076132,0.12584660596467556,2269.033280289877,1.056070154582927,COMPLETE
554,4665.0,2026-03-11 22:59:14.769131,2026-03-11 22:59:28.390661,0 days 00:00:13.621530,21,10909,193,44,46,0.2565390597525284,0.2004504607172603,0.28419473431008424,4750.328015076137,1.136618109956222,COMPLETE
120,4665.0,2026-03-11 22:37:22.230953,2026-03-11 22:37:39.903986,0 days 00:00:17.673033,19,17000,146,45,49,0.25149407855349054,0.36325390658310175,0.0966236373394377,3028.7877427701,1.3623133666989506,COMPLETE
455,4664.0,2026-03-11 22:52:26.938691,2026-03-11 22:53:26.816561,0 days 00:00:59.877870,24,35557,199,47,60,0.2582183135013291,0.432780290389471,0.12334227782724956,2272.1913743334408,1.1464006147197099,COMPLETE
397,4663.0,2026-03-11 22:49:29.443722,2026-03-11 22:49:54.182447,0 days 00:00:24.738725,24,13762,193,49,64,0.27765713637696754,0.22598657610640968,0.29616562035195143,2311.2320920734805,1.0024275703982184,COMPLETE
150,4663.0,2026-03-11 22:38:38.653074,2026-03-11 22:38:59.723052,0 days 00:00:21.069978,18,11591,179,47,70,0.23137439599453513,0.20030199827433265,0.2896560867641922,4054.3481806381783,1.6581415912702828,COMPLETE
487,4661.0,2026-03-11 22:55:14.483050,2026-03-11 22:55:37.227788,0 days 00:00:22.744738,18,10588,165,49,70,0.2888973191844023,0.20016334697732152,0.18218061080214087,3407.562934486835,0.5455767264212996,COMPLETE
25,4660.0,2026-03-11 22:27:15.538048,2026-03-11 22:27:45.732385,0 days 00:00:30.194337,22,27822,154,36,54,0.24723871389287955,0.21342603037356112,0.2831856132960843,3206.693949991822,1.1845531663989615,COMPLETE
449,4659.0,2026-03-11 22:51:45.430467,2026-03-11 22:52:44.139839,0 days 00:00:58.709372,25,35003,193,44,62,0.3220497050847052,0.3224233735430726,0.13656562966737096,2533.6991494910862,1.1557110919034776,COMPLETE
20,4658.0,2026-03-11 22:26:28.849481,2026-03-11 22:26:53.587176,0 days 00:00:24.737695,29,28348,157,34,43,0.2713950276243725,0.2823048196962846,0.2892503585549095,3243.5474030001487,1.265954316975479,COMPLETE
440,4658.0,2026-03-11 22:51:21.802752,2026-03-11 22:52:17.833927,0 days 00:00:56.031175,26,30827,190,50,68,0.32763233401487524,0.22573873738895048,0.1353161785006286,2080.1163736946996,0.4720656159918784,COMPLETE
330,4657.0,2026-03-11 22:47:03.091490,2026-03-11 22:47:16.789096,0 days 00:00:13.697606,20,13083,176,42,42,0.2264708592633995,0.4109156311586093,0.2927565992632827,3182.991449605378,3.780122208912195,COMPLETE
562,4656.0,2026-03-11 23:00:23.911397,2026-03-11 23:01:01.104957,0 days 00:00:37.193560,24,33190,128,45,63,0.2811735766880425,0.535454226832689,0.29304748212550263,388.27600867914225,1.8666369541212424,COMPLETE
61,4654.0,2026-03-11 22:32:00.133850,2026-03-11 22:32:20.645715,0 days 00:00:20.511865,19,18540,187,43,44,0.2621266661689127,0.27626300840018236,0.10133126376879309,2369.454133125187,1.2905458590025003,COMPLETE
434,4654.0,2026-03-11 22:50:58.775876,2026-03-11 22:51:31.860126,0 days 00:00:33.084250,26,18445,183,46,68,0.3012695998421219,0.4710536193490937,0.14611229137363102,1884.85618483501,0.38343055229591183,COMPLETE
374,4654.0,2026-03-11 22:48:41.651661,2026-03-11 22:49:14.694369,0 days 00:00:33.042708,17,28998,156,44,53,0.2005738608754679,0.44848235718280566,0.2900618669440513,1650.980859540101,4.210567966951282,COMPLETE
511,4653.0,2026-03-11 22:56:50.627206,2026-03-11 22:57:17.477028,0 days 00:00:26.849822,19,12988,194,31,61,0.2668336523633946,0.23204304329872527,0.11185141584490066,1810.6532209348509,1.5265433771974735,COMPLETE
497,4653.0,2026-03-11 22:56:08.331953,2026-03-11 22:56:46.701826,0 days 00:00:38.369873,18,21595,160,48,65,0.3136020111586357,0.43312313030537813,0.11959005830212147,2671.216284343255,0.641433227850007,COMPLETE
206,4652.0,2026-03-11 22:41:07.451297,2026-03-11 22:42:02.072562,0 days 00:00:54.621265,22,32083,157,50,77,0.2234350589542109,0.4959582363169287,0.24464816386155508,2274.6618973608342,3.21235088756875,COMPLETE
439,4652.0,2026-03-11 22:51:13.440939,2026-03-11 22:51:43.241480,0 days 00:00:29.800541,26,16891,190,50,64,0.27383945747532595,0.23042024840952327,0.14912429802042362,2391.1373924562513,0.3906698550964642,COMPLETE
334,4652.0,2026-03-11 22:47:14.261058,2026-03-11 22:47:27.934055,0 days 00:00:13.672997,19,12954,175,41,42,0.22785969207295165,0.4373505814940008,0.2964297711546698,3160.33280837933,1.375358799637025,COMPLETE
504,4652.0,2026-03-11 22:56:32.958284,2026-03-11 22:58:12.352337,0 days 00:01:39.394053,20,59910,157,46,63,0.2654839699474741,0.4750628392631825,0.11352714044338122,2441.5095709092107,0.19278073770094736,COMPLETE
539,4651.0,2026-03-11 22:58:10.872351,2026-03-11 22:58:37.505196,0 days 00:00:26.632845,10,13321,153,49,73,0.20482283163716172,0.21117658915870097,0.08774275887152785,1989.35980191552,1.6381973535989154,COMPLETE
544,4651.0,2026-03-11 22:58:31.669485,2026-03-11 22:59:40.039704,0 days 00:01:08.370219,28,35645,195,49,73,0.24394355231177145,0.23553636379882806,0.12218596914551301,1581.2455566510241,1.6184234555083115,COMPLETE
51,4650.0,2026-03-11 22:30:36.260021,2026-03-11 22:31:01.589785,0 days 00:00:25.329764,21,24260,177,44,45,0.22736749342437637,0.2275162313307605,0.1634055674029877,3555.1782868308546,2.2110686337558514,COMPLETE
263,4649.0,2026-03-11 22:45:03.045558,2026-03-11 22:45:25.951308,0 days 00:00:22.905750,18,19849,165,40,48,0.2724829586639966,0.28066056981002657,0.09339813081515688,3790.0214006512215,1.1292704137421656,COMPLETE
273,4648.0,2026-03-11 22:45:22.357084,2026-03-11 22:45:37.022384,0 days 00:00:14.665300,18,17352,127,43,46,0.3068615228268747,0.2305982783986864,0.1020156571159707,3867.4013764397614,1.0792308716629337,COMPLETE
482,4648.0,2026-03-11 22:55:02.844335,2026-03-11 22:55:52.011731,0 days 00:00:49.167396,23,27541,167,43,62,0.24563631060695584,0.26359346456929755,0.15300100487447266,4144.15996615944,2.0583046706151475,COMPLETE
